datetime,open,high,low,close,volume,rsi14,macd1,macd2,macd3,obv,smaObv,wave1,wave2,minusDM,plusDM,9ema,21ema
2022-01-01 00:00:00+00:00,46211.24,46936.0,46150.0,46804.01,3155.8637830200005,,,,,3155.8637830200005,,,,,,,
2022-01-01 04:00:00+00:00,46804.0,47604.0,46562.27,47200.01,2840.0009099600034,,,,,5995.864692980003,,121.21212121212122,,,,,
2022-01-01 08:00:00+00:00,47200.14,47365.0,46205.0,46767.08,1830.6850866100008,,,,,4165.179606370002,,32.83645143785802,,,,,
2022-01-01 12:00:00+00:00,46755.84,47499.9,46754.97,47231.0,1726.6005803800003,,,,,5891.780186750002,,57.84162718495695,,,,,
2022-01-01 16:00:00+00:00,47231.0,47967.12,47200.56,47347.76,2866.8037133099992,,,,,8758.58390006,,76.95228970835969,72.21062238582397,,,,
2022-01-01 20:00:00+00:00,47347.22,47865.46621765,47229.86,47733.43,2096.2540367599995,,,,,10854.83793682,,81.91108155814915,62.385362472330954,,,,
2022-01-02 00:00:00+00:00,47746.0,47788.0,47277.0,47339.42,1467.2248247099997,,,,,9387.61311211,,75.12321314772946,72.95705289979881,,,,
2022-01-02 04:00:00+00:00,47338.81,47436.03,46767.94,47189.04,1618.946466470001,,,,,7768.66664564,,53.48303639768793,71.86740520298156,,,,
2022-01-02 08:00:00+00:00,47187.0,47503.03,46980.0,47245.99,833.1807570100005,,,,,8601.84740265,,43.539659350727085,63.5142476135734,,,47206.415555555555,
2022-01-02 12:00:00+00:00,47246.49,47468.0,47023.96,47360.35,1312.8866613999999,,,,,9914.73406405,,38.442241840250276,52.64703768409869,,,47237.20244444445,
2022-01-02 16:00:00+00:00,47360.35,48012.0,46633.36,46950.2,3990.320629970001,,,,,5924.413434079999,,28.592671178150887,41.01440219170404,,,47179.80195555556,
2022-01-02 20:00:00+00:00,46920.01,47488.83,46833.24,47299.07,1501.5345206999996,,,,,7425.947954779998,,21.539605859596318,33.02854455718114,,,47203.655564444445,
2022-01-03 00:00:00+00:00,47297.66,47305.3721992,46723.82,46796.57,1983.789156949999,,,,,5442.1587978299995,,2.0588084238005733,22.658331825449512,,,47122.23845155555,
2022-01-03 04:00:00+00:00,46805.40836095,47222.99,46752.8,47070.27,1319.8321431000008,,,,,6761.99094093,,-7.040199620738261,11.287721460202379,975.7499999999927,1881.1200000000026,47111.84476124444,
2022-01-03 08:00:00+00:00,47067.0,47438.94,46759.6,47385.28,1504.4284783199998,56.66409092889355,,,,8266.41941925,,-3.4810013500291035,3.2693033281573816,906.0535714285646,1962.7042857142926,47166.531808995554,
2022-01-03 12:00:00+00:00,47401.0,47586.58,46568.5,46687.69,3119.1619911199996,48.337583632388984,,,,5147.25742813,,-14.12944785559116,-5.647960100639487,1032.4354591836657,1822.511122448986,47070.76344719644,
2022-01-03 16:00:00+00:00,46687.68,46801.0,46276.68,46396.0,3896.92822853,45.33759637166839,,,,1250.3291996000003,,-32.66146201802505,-14.328027711095892,1250.510069241975,1692.3317565597727,46935.81075775715,
2022-01-03 20:00:00+00:00,46372.55,46579.41,45689.0,46459.56,4868.8885065099985,46.12227309533867,,,,6119.217706109999,,-45.943231450556006,-24.053785668550326,1748.8679214389772,1571.450916805503,46840.56060620572,
2022-01-04 00:00:00+00:00,46459.57,46542.04,45941.07,46317.77,2378.4013069099988,44.584705063690286,,,,3740.8163992000004,,-52.235755862246926,-36.24247429660478,1623.948784193336,1459.204422747967,46736.00248496458,
2022-01-04 04:00:00+00:00,46319.99,46589.72,46022.76,46558.25,2411.9983569599995,47.76524769787059,,,,6152.81475616,,-53.41042071670685,-46.062717511883704,1507.9524424652407,1402.6555354088268,46700.45198797166,
2022-01-04 08:00:00+00:00,46558.0,46781.0,46294.11,46720.0,2346.6604665100003,49.850175402790725,,,,8499.47522267,,-49.5499114346096,-50.28482986602984,1400.2415537177235,1493.7458543081952,46704.36159037733,46993.27380952381
2022-01-04 12:00:00+00:00,46732.32,47671.86280513,46412.88,46934.0,6261.364067500003,52.54874328424628,,,,14760.839290170003,,-37.06756496930227,-48.06591324571641,1300.2242998807433,2277.9125269876067,46750.28927230187,46987.88528138528
2022-01-04 16:00:00+00:00,46917.25,46987.0,45515.0,46039.93,7011.560189770007,42.30615117273136,,,,7749.2791003999955,,-43.53986850252501,-45.89194140578593,2105.2311356035448,2115.204489345635,46608.21741784149,46901.707528532075
2022-01-04 20:00:00+00:00,46045.76979481,46425.43,45705.19,45814.61,3751.29826741,40.18057536429509,,,,3997.9808329899956,,-49.62563525233235,-44.945745039692305,1954.8574830604343,1964.1184543923753,46449.495934273196,46802.880480483705
2022-01-05 00:00:00+00:00,45817.13,46563.0,45711.74,46427.36,2677.1897377299997,47.85358585412508,,,,6675.170570719995,,-49.34828547218365,-44.895338549085814,1815.2248056989747,1961.3942790786339,46445.068747418554,46768.74225498518
